Date Time, Water Level, Sigma, O, F, R, L, Quality 
2017-01-02 18:54,1.486,0.023,0,0,0,0,v
2017-01-02 19:00,1.342,0.033,0,0,0,0,v
2017-01-02 19:06,1.299,0.033,0,0,0,0,v
2017-01-02 19:12,1.280,0.030,0,0,0,0,v
2017-01-02 19:18,1.211,0.023,0,0,0,0,v
2017-01-02 19:24,1.204,0.023,0,0,0,0,v
2017-01-02 19:30,1.142,0.020,0,0,0,0,v
2017-01-02 19:36,1.135,0.030,0,0,0,0,v
2017-01-02 19:42,1.142,0.023,0,0,0,0,v
2017-01-02 19:48,1.093,0.020,0,0,0,0,v
2017-01-02 19:54,1.066,0.023,0,0,0,0,v
2017-01-02 20:00,0.968,0.020,0,0,0,0,v
2017-01-02 20:06,0.942,0.026,0,0,0,0,v
2017-01-02 20:12,0.909,0.023,0,0,0,0,v
2017-01-02 20:18,0.879,0.023,0,0,0,0,v
2017-01-02 20:24,0.830,0.023,0,0,0,0,v
2017-01-02 20:30,0.807,0.023,0,0,0,0,v
2017-01-02 20:36,0.732,0.020,0,0,0,0,v
2017-01-02 20:42,0.719,0.026,0,0,0,0,v
2017-01-02 20:48,0.679,0.013,0,0,0,0,v
2017-01-02 20:54,0.614,0.030,0,0,0,0,v
2017-01-02 21:00,0.561,0.033,0,0,0,0,v
2017-01-02 21:06,0.545,0.026,0,0,0,0,v
2017-01-02 21:12,0.482,0.030,0,0,0,0,v
2017-01-02 21:18,0.427,0.020,0,0,0,0,v
2017-01-02 21:24,0.417,0.030,0,0,0,0,v
2017-01-02 21:30,0.367,0.026,0,0,0,0,v
2017-01-02 21:36,0.348,0.026,0,0,0,0,v
2017-01-02 21:42,0.249,0.030,0,0,0,0,v
2017-01-02 21:48,0.194,0.026,0,0,0,0,v
2017-01-02 21:54,0.190,0.033,0,0,0,0,v
2017-01-02 22:00,0.167,0.030,0,0,0,0,v
2017-01-02 22:06,0.112,0.036,0,0,0,0,v
2017-01-02 22:12,0.033,0.030,0,0,0,0,v
2017-01-02 22:18,0.049,0.036,0,0,0,0,v
2017-01-02 22:24,0.052,0.043,0,0,0,0,v
2017-01-02 22:30,0.026,0.049,0,0,0,0,v
2017-01-02 22:36,-0.020,0.033,0,0,0,0,v
2017-01-02 22:42,-0.020,0.049,0,0,0,0,v
2017-01-02 22:48,-0.030,0.043,0,0,0,0,v
2017-01-02 22:54,-0.072,0.043,0,0,0,0,v
2017-01-02 23:00,-0.013,0.059,0,0,0,0,v
